treated,age,age2,educ,black,hispanic,married,nodegree,re75,re78
0,26,676,17,0,0,1,0,29182.258,35465.438
0,37,1369,12,0,0,1,0,22200,22904.762
0,34,1156,14,0,1,1,0,17903.227,8866.3594
0,41,1681,8,1,0,1,1,11171.613,5910.9063
0,27,729,12,0,0,1,0,21483.871,33987.711
0,28,784,17,0,0,1,0,13427.419,6827.0967
0,54,2916,16,0,0,1,0,26854.84,26451.307
0,24,576,10,0,0,1,1,25062.727,29678.66
0,55,3025,16,0,0,1,0,46548.387,47878.34
0,25,625,16,0,0,0,0,6042.3389,0
0,45,2025,17,0,0,1,0,23095.16,6649.7695
0,30,900,12,0,0,1,0,28645.16,32509.984
0,29,841,12,0,0,1,0,19686.387,33544.395
0,25,625,12,0,0,1,0,5729.0322,26599.078
0,51,2601,12,0,0,1,0,19245.969,17732.719
0,31,961,12,0,0,1,0,17903.227,0
0,41,1681,10,1,0,1,1,20767.742,25121.352
0,43,1849,12,0,0,1,0,26854.84,28076.805
0,43,1849,17,0,0,1,0,42251.613,41376.344
0,26,676,14,1,0,1,0,17187.098,21678.248
0,35,1225,12,0,0,1,0,26854.84,32509.984
0,34,1156,12,0,0,1,0,14322.581,10048.541
0,32,1024,10,0,0,1,1,16112.903,11082.949
0,33,1089,17,1,0,1,0,29540.322,17732.719
0,46,2116,8,0,0,0,1,13158.871,10048.541
0,34,1156,12,0,0,1,0,18619.355,20688.172
0,30,900,16,0,0,1,0,28197.58,29554.531
0,29,841,12,0,0,1,0,17008.064,20688.172
0,42,1764,11,0,0,1,1,44758.066,38420.891
0,22,484,11,0,0,1,1,1790.3226,7388.6328
0,31,961,8,0,0,1,1,15754.839,16210.661
0,41,1681,9,0,0,1,1,13964.516,17732.719
0,28,784,17,0,0,1,0,27750,51720.43
0,46,2116,3,1,0,1,1,14322.581,19949.309
0,41,1681,13,0,0,0,0,0,30293.395
0,34,1156,12,0,0,1,0,24885.484,24678.033
1,18,324,11,1,0,0,1,851.60608,0
