age,black,re75,treated,re78
28,0,2642.7939,0,1800.0159
38,1,3823.3867,0,3132.5464
35,0,2625.8918,0,3527.825
39,1,2848.6099,0,1742.4811
25,0,448.10602,1,1245.8784
26,0,2564.3042,0,2820.1003
54,1,2861.9829,0,2922.8303
23,0,329.92618,0,1819.0625
53,0,3091.7852,0,3042.9426
23,0,1540.4031,0,2435.3901
43,0,3120.9824,0,1621.4471
29,0,2781.8992,0,2923.6521
28,0,2262.7397,0,3364.6731
23,0,1636.3739,0,1957.8724
50,0,4264.9619,0,4303.2822
30,0,1621.7578,0,1674.2648
39,1,3047.0386,0,2213.7515
41,0,3586.3794,0,4744.8955
43,0,4414.7021,0,4272.4302
28,1,1490.3881,0,1257.01
33,0,2821.2014,0,1555.024
36,0,2050.1772,0,1220.3619
32,0,2320.1721,0,2683.6226
34,1,2770.7576,0,4061.4556
47,0,4221.252,0,3343.1895
33,0,2581.0442,0,2192.6384
29,0,2110.7222,0,1852.5172
30,1,2435.6328,0,2737.377
43,0,4702.8965,0,4232.8687
20,0,2507.7485,0,2781.6843
29,0,1355.085,0,2336.2527
40,0,2822.2632,0,3266.6533
29,0,1899.1641,0,2584.1379
47,1,3297.7935,0,2895.3071
41,0,2179.3481,0,2148.6072
33,0,2140.3328,0,1335.1189
37,1,2362.0649,0,1594.496
38,0,2888.8242,0,1216.2781
26,0,1601.6951,0,1199.2944
53,0,3930.5593,0,3092.5254
46,0,3400.5996,0,5823.9312
41,0,989.72229,1,2416.2915
40,0,4119.603,0,4951.6597
25,1,2098.6309,0,1522.5616
51,0,3526.6851,0,3529.3887
42,0,4150.7881,0,4914.6816
44,0,4232.9209,0,4069.6179
26,0,3135.271,0,3126.0149
24,1,1368.6205,0,2013.5603
51,1,3895.4829,0,3768.5549
44,0,3643.395,0,4065.7227
25,1,2280.1118,0,3100.3743
19,0,2401.1758,0,3539.8
27,0,2433.8906,0,2930.9265
39,0,2372.6272,0,2153.4275
34,0,2009.0121,0,2078.0681
21,0,1059.905,0,2256.1499
49,0,4251.3447,0,3243.8462
51,0,4505.6436,0,2498.978
27,0,2886.4883,0,2755.6812
46,0,2880.8511,0,3252.4141
30,0,3298.5808,0,2981.7854
25,0,1825.9492,0,2808.7969
36,1,3090.2598,0,1019.3922
55,1,5257.9463,0,5222.1191
53,0,4482.9775,0,3874.6489
25,1,2444.2456,0,2799.666
23,0,1688.1539,0,1765.0048
39,1,4471.4614,0,4007.2927
44,0,4221.9814,0,2455.9546
28,0,1927.8838,0,2257.9729
29,1,1901.0723,0,2391.228
34,0,2444.3013,0,2386.8394
28,0,1459.0992,0,998.21576
39,0,2399.7136,0,1728.0797
29,1,1683.3268,0,1383.3196
46,0,4381.769,0,3652.9893
29,1,2349.0061,0,2737.9949
48,0,3761.8184,0,3115.2266
40,1,3677.9927,0,3283.5969
23,0,1438.9308,0,2178.0059
49,0,3707.2773,0,2696.5396
46,0,2533.5957,0,2726.8789
32,0,2022.7864,0,3471.2234
54,1,2430.4731,0,2274.5542
25,1,1410.6007,0,2014.9602
21,0,1366.1438,0,2308.2886
20,1,785.55432,0,0
20,0,1560.162,0,1570.147
35,0,2812.6465,0,2559.6147
40,0,1849.8668,0,1745.6053
27,1,1453.0715,0,336.24155
17,0,2483.7947,0,1763.417
33,0,3128.9722,0,3325.2422
37,0,3760.6536,0,3149.8608
26,0,1961.4144,0,2194.8896
21,0,1446.7765,0,1969.5798
52,0,3572.1257,0,2931.6733
34,0,2461.5825,0,2090.4846
25,0,825.29382,0,2172.7693
33,0,2383.9063,0,1229.0039
25,1,1972.0876,0,1247.111
22,1,1492.153,0,876.76001
29,0,3215.8054,0,3707.1919
22,0,1873.7728,0,2774.9155
18,1,432.50162,1,2123.1206
26,0,2839.9172,0,3539.0972
38,0,2249.0251,0,2314.698
27,1,2086.4663,0,2021.4725
43,1,2875.3174,0,2597.0056
32,0,2269.196,0,2051.885
52,1,3613.8901,0,3347.0017
22,0,1110.1428,0,1333.9541
49,0,3478.9907,0,3872.8157
30,0,1990.5668,0,1575.4034
24,0,1636.3147,0,1889.9648
49,0,3322.8894,0,3737.6833
36,0,2250.5754,0,1921.9329
41,0,4018.304,0,3998.0662
42,0,2236.6843,0,1877.2804
55,1,3922.4766,0,2934.7019
43,0,2515.0435,0,2907.2371
22,1,699.14026,1,1203.5603
40,0,2398.0591,0,1676.2126
53,0,3767.6145,0,3164.2056
29,0,2029.9255,0,0
50,1,3494.0859,0,4230.5796
33,0,1720.0378,0,2005.2007
52,1,3506.6089,0,3799.5632
45,0,2118.644,0,871.28894
48,0,4624.1685,0,4657.2832
45,0,2906.2507,0,2641.146
29,0,3335.5684,0,2742.6082
49,0,4139.167,0,3918.5308
24,0,2236.7561,0,3139.6655
33,0,1640.3376,0,1192.3425
26,0,1501.7651,0,751.55566
21,0,2256.2297,0,2691.3372
39,0,3187.4858,0,4185.7627
54,1,3799.6809,0,3565.2659
27,1,1024.9954,0,2255.3252
26,1,1413.3054,0,2552.2371
28,0,1976.9974,0,2217.3838
27,0,2048.011,0,2076.1941
43,0,3184.7217,0,1927.0917
30,1,3049.8521,0,2800.5164
36,0,2769.0674,0,2090.293
32,0,2575.2437,0,3462.6956
28,0,2788.6858,0,2781.6526
44,1,2125.6279,0,2149.0225
31,0,2113.9929,0,2469.5366
44,0,3562.394,0,2930.9695
20,0,2163.0708,0,1600.4237
29,0,1721.9479,0,1232.7214
30,1,698.49304,0,614.35718
43,0,3099.0139,0,2426.8923
25,1,1804.2426,0,1366.1836
36,0,2969.127,0,2393.7634
54,0,2747.0686,0,2800.7051
35,0,3216.9995,0,3006.5525
31,1,1498.0164,0,2083.6377
30,0,2548.9985,0,3443.2151
55,0,4877.2656,0,3520.6772
25,1,1448.4003,0,2137.4873
44,1,3255.8369,0,3030.145
24,0,2170.2339,0,4029.9146
43,0,3474.0059,0,2692.1101
47,0,3966.0894,0,3911.7466
49,0,3995.9993,0,3700.4302
29,0,2603.0024,0,1635.2023
17,0,1220.5789,0,2292.2556
38,1,2191.0664,0,1201.8597
29,0,1515.5883,0,1004.4685
49,0,4158.9009,0,2616.4231
46,0,3944.1238,0,3197.5427
25,1,792.40747,1,1553.7712
46,0,2764.9019,0,2772.7988
42,0,3686.1628,0,3612.8562
20,0,2043.4939,0,1181.9827
44,0,2981.9644,0,2326.6357
53,0,3817.6538,0,3068.5215
45,1,4015.2039,0,4474.3374
24,1,2657.4119,0,2763.9065
53,0,4251.042,0,4053.644
30,0,2734.1997,0,3475.03
45,0,3715.8027,0,3883.4248
26,1,1750.984,0,3266.8274
50,0,3920.8093,0,4542.3188
38,0,2052.0681,0,1803.8777
26,1,1171.6249,0,515.46674
30,0,2523.0332,0,2093.2671
31,0,3425.3164,0,3512.5356
36,0,1930.682,0,1730.689
24,0,1064.8319,0,999.22107
27,0,2148.0676,0,2318.3926
41,0,3221.9805,0,3912.6624
25,1,1329.2864,0,1194.8207
26,1,506.58829,0,1235.2975
22,1,2671.5579,0,2766.5178
48,1,3389.5227,0,3985.2358
32,0,2691.46,0,2513.3501
53,0,3910.4946,0,4265.8706
37,0,4013.241,0,3929.6985
29,0,1535.509,0,2902.5935
36,1,2103.5444,0,2820.2083
48,0,3360.6843,0,5143.7798
32,0,3227.406,0,3004.2151
25,1,1317.7865,0,2224.5603
20,0,1741.1663,0,2127.4519
44,0,3363.8384,0,3979.6111
44,0,3463.0247,0,2680.1216
42,0,4571.9102,0,4559.2178
28,1,2088.1646,0,4131.6704
52,0,4084.6648,0,4685.1147
42,0,3787.373,0,2994.6768
33,0,3895.1023,0,3848.7
21,0,1935.4688,0,1929.9854
33,1,2024.0198,0,2670.8188
44,1,2026.5328,0,1985.4202
32,0,3188.5789,0,2886.5383
30,0,1086.7567,0,829.93958
40,0,3224.3835,0,3237.3459
26,0,2027.6715,0,2745.5815
22,1,829.05481,0,664.65063
45,0,3779.3086,0,3102.0122
25,0,1744.1881,0,834.02625
32,1,1245.5173,0,1604.3547
21,0,756.85083,0,2329.6658
43,0,4558.0942,0,3457.3972
27,0,1822.6205,0,3455.9409
40,0,2545.2009,0,1749.1517
47,0,4227.0605,0,4388.0195
26,0,1915.3649,0,3193.3247
44,0,3598.5403,0,2574.4104
52,0,2911.4185,0,3540.2222
20,1,1508.9082,0,1740.443
50,0,3219.7361,0,3638.3967
26,0,1540.7655,0,1611.3063
24,1,1091.6744,0,1477.1383
39,0,3533.3882,0,3241.8625
50,0,3963.3413,0,2938.3818
30,1,1767.9467,0,2715.3181
24,1,1562.8228,0,1624.2809
41,0,3462.761,0,3360.3093
35,0,2563.7261,0,4222.8232
21,0,1690.5863,0,1277.3633
53,1,4003.9165,0,2971.3926
53,0,4853.7129,0,4035.8352
26,0,3301.9526,0,3123.9707
27,0,2248.4636,0,2299.1621
38,0,2717.9253,0,2442.1699
52,1,4528.4517,0,1865.8204
36,0,3235.8154,0,2102.6284
33,1,3210.1558,0,1612.2587
33,0,3070.2861,0,2731.2441
27,0,1328.6487,0,1424.0444
46,1,4598.1606,0,5742.4976
39,0,3337.627,0,2692.7363
53,0,5752.9478,0,4085.0393
54,0,3371.3481,0,4340.9336
31,0,1567.6747,0,1022.4943
24,1,1590.5958,0,1996.6116
31,1,1776.7764,0,3600.9829
40,1,1378.6156,0,1624.5824
36,0,3030.0264,0,2693.7437
34,0,2516.1479,0,2805.2637
50,0,3416.571,0,2410.9434
19,1,1710.639,0,1814.1584
28,0,2902.7754,0,2744.5151
21,0,1763.9873,0,2068.0562
56,1,3423.8176,0,2601.697
29,0,1147.6385,0,478.17148
31,0,1624.5117,0,2632.228
29,1,2795.0596,0,3094.2593
28,1,719.13647,1,1930.0984
42,0,2418.7744,0,1827.2285
49,0,4238.4873,0,2712.2266
24,0,2176.667,0,1763.7861
25,0,1997.1715,0,1940.5338
19,0,2330.0833,0,2264.8064
23,0,1836.7526,0,2567.3403
33,1,3159.645,0,4178.8262
44,0,3878.3262,0,3266.1802
25,0,1189.501,0,1438.4963
48,0,3914.7571,0,3333.1096
38,0,2978.5793,0,2827.7605
28,1,2200.4795,0,2720.9612
40,0,2389.5093,0,2968.9136
24,0,1547.2048,0,2307.3867
44,0,3762.1179,0,2515.2666
57,0,3693.522,0,4586.021
39,1,3135.8403,0,4067.324
22,1,2315.6389,0,2675.9749
43,0,3975.3325,0,2785.7134
23,0,1226.9753,0,346.48578
43,0,2104.4299,0,4211.8218
53,1,3706.7046,0,3032.5903
49,0,2563.5884,0,1921.7736
24,1,1535.6384,0,2230.7231
19,0,2147.4055,0,2896.8513
47,0,3299.7297,0,2900.0081
45,0,2759.2544,0,4028.918
47,1,3364.3313,0,3097.8245
55,1,4615.7461,0,5075.0176
32,0,2157.5493,0,3543.96
27,1,874.07587,1,644.9743
25,0,2812.2117,0,1844.6702
25,0,1706.3708,0,2397.0325
19,1,210.99463,1,1546.1912
28,0,2123.043,0,1507.4082
25,0,2519.6292,0,2934.3047
19,0,1188.7378,0,0
42,0,3903.687,0,4963.1265
49,0,3218.6362,0,3547.0918
24,0,1420.9268,0,364.43942
26,0,2118.2996,0,2668.5322
53,1,3826.8169,0,2796.6003
29,1,3043.1833,0,1766.6202
27,0,2568.946,0,3094.4502
28,0,2290.0352,0,2466.0867
33,1,2424.4446,0,2982.9946
32,1,1894.349,0,1201.6184
47,1,2380.9275,0,2161.145
29,1,1100.8523,0,1100.8375
35,1,2770.189,0,3354.6531
26,1,2470.0491,0,2700.3684
23,0,2103.0625,0,1976.1426
36,0,3399.4146,0,2346.0847
43,0,3761.1296,0,3026.3953
35,0,3172.3384,0,2375.3894
26,0,3376.5891,0,2375.4644
44,0,5088.7393,0,3860.2783
31,1,1588.6759,0,0
36,1,2072.7866,0,4282.7202
28,1,1504.0422,0,1913.7023
54,1,4566.1143,0,4529.7051
36,0,2516.6357,0,3060.291
29,1,2021.531,0,2139.3403
25,0,1726.7496,0,1425.2021
44,0,3706.6692,0,2318.1123
25,0,1756.2932,0,1812.3508
29,0,2450.9541,0,2553.5449
50,0,3524.9563,0,4638.7515
50,0,2615.9124,0,2930.1387
55,0,4842.9463,0,4415.02
21,0,2231.5552,0,2552.8489
22,1,918.95197,0,1934.9478
52,1,4860.0449,0,3392.5359
47,1,3642.1882,0,3253.7195
49,0,3579.0574,0,3449.3013
35,0,3919.7253,0,3421.6399
41,0,4084.8777,0,3462.0283
29,0,1660.7936,0,1306.9777
38,0,2215.4309,0,1937.5474
41,0,4257.0107,0,3403.9829
47,0,3402.9954,0,2418.2131
27,0,1520.8971,0,884.55975
25,0,3352.0613,0,2773.824
25,1,2249.1704,0,3191.0701
21,0,1552.8058,0,2640.7964
29,0,2348.4768,0,3604.8721
25,0,1693.2878,0,2461.7214
27,1,1053.5762,0,1396.1962
21,1,1096.7765,0,1931.3917
28,0,3588.0815,0,2620.4219
37,0,3342.7363,0,3585.9949
48,0,3010.4233,0,3109.9412
28,0,2616.5425,0,1839.9099
19,0,1274.0908,0,906.76587
30,1,2653.9556,0,2687.6106
27,0,2016.9011,0,872.27618
29,1,1462.1877,0,1478.4696
35,0,3506.2766,0,3031.2883
20,0,1984.2771,0,2723.0447
50,0,3700.543,0,4553.3062
36,1,2459.7542,0,3152.3923
32,0,3479.3743,0,4934.9297
38,0,3231.1838,0,2053.813
44,0,2997.3542,0,2613.3921
53,0,5974.0024,0,5637.8271
26,0,1382.4084,0,2179.0996
41,0,2731.7122,0,1620.2109
30,0,2436.8137,0,3879.5459
22,0,1201.0884,0,1481.6503
25,0,2706.2815,0,3216.248
22,1,2026.3558,0,1492.1648
47,0,4085.7859,0,4393.4326
27,0,1718.6423,0,3091.3499
44,1,2836.5354,0,2830.0232
25,0,1440.4253,0,2946.3599
42,1,2109.5544,0,2292.4504
29,0,1958.0238,0,1529.7059
24,0,1526.7465,0,3077.519
48,0,3456.3276,0,2714.1921
36,0,3458.1782,0,3374.1111
20,0,1320.3083,0,1913.6506
55,0,5416.6504,0,5415.1431
26,1,1214.6875,0,1436.8813
31,0,2014.9612,0,2095.8882
36,0,2776.8572,0,3272.3972
41,0,2708.0269,0,3017.6975
34,0,3019.1357,0,1907.2008
39,1,4309.4971,0,2503.2932
27,0,2020.2136,0,846.46716
42,1,2181.564,0,1430.4358
27,1,1665.6715,0,1487.1
37,0,2599.3379,0,3468.6072
42,0,2969.7173,0,1720.7347
25,0,3016.115,0,2784.6201
42,0,2146.5879,0,932.92883
43,0,3428.3555,0,3466.467
28,0,1973.324,0,1703.4487
48,1,3309.7402,0,2984.9546
33,0,1651.54,0,3523.7285
33,0,2132.6226,0,1998.2185
23,0,1526.6882,0,3021.7529
36,1,3788.1899,0,1690.83
24,1,2214.4624,0,2279.7986
29,0,2574.5991,0,2002.3525
29,0,2384.9019,0,2800.5127
56,1,3570.8594,0,2853.5571
50,0,3967.2043,0,3299.6909
54,0,4301.4155,0,3856.9893
54,1,4541.9224,0,4433.8892
45,0,4308.376,0,4513.3394
21,0,1691.623,0,3102.6985
27,0,0,1,2362.2251
21,0,1086.6251,0,686.81555
45,0,3533.3855,0,3868.2273
35,0,3565.3528,0,3133.9111
42,1,2105.0515,0,2484.759
23,0,1954.677,0,914.62097
22,0,1964.1293,0,1752.938
42,0,3491.7825,0,3455.6948
36,0,2896.3711,0,1943.5751
51,0,5368.5747,0,3742.5083
27,0,2011.0316,0,1073.8505
28,1,1207.2986,0,1060.746
25,0,1448.6951,0,2305.6389
46,1,3816.5066,0,4474.0474
27,0,1644.2672,0,2433.7944
39,0,2689.5862,0,2409.2195
35,1,2699.4014,0,1876.3247
28,0,2332.7212,0,2998.0947
39,0,2730.137,0,3259.7898
21,0,1805.8074,0,4226.8965
